"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
radio_exam_15,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_14]='1',y,RH,,,,
radiodays_15,radiology_results,,text,"Radiology Test from Admission Days 15",,,,,,,"[radio_exam_15] = '1'",,,,,,
radio_test_15,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_15] = 1",y,,,,,
radiology_othertest_15,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_15] = '5'",y,,,,,
radiology_result_15,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_15] = 1",y,,,,,
radiology_other_result_15,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_15(6)] = '1'",y,,,,,
radio_exam_16,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_15]='1',,RH,,,,
radiodays_16,radiology_results,,text,"Radiology Test from Admission Days 16",,,,,,,"[radio_exam_16] = '1'",,,,,,
radio_test_16,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_16] = 1",y,,,,,
radiology_othertest_16,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_16] = '5'",y,,,,,
radiology_result_16,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_16] = 1",y,,,,,
radiology_other_result_16,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_16(6)] = '1'",y,,,,,
radio_exam_17,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_16]='1',y,RH,,,,
radiodays_17,radiology_results,,text,"Radiology Test from Admission Days 17",,,,,,,"[radio_exam_17] = '1'",,,,,,
radio_test_17,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_17] = 1",y,,,,,
radiology_othertest_17,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_17] = '5'",y,,,,,
radiology_result_17,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_17] = 1",y,,,,,
radiology_other_result_17,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_17(6)] = '1'",y,,,,,
radio_exam_18,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_17]='1',y,RH,,,,
radiodays_18,radiology_results,,text,"Radiology Test from Admission Days 18",,,,,,,"[radio_exam_18] = '1'",,,,,,
radio_test_18,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_18] = 1",y,,,,,
radiology_othertest_18,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_18] = '5'",y,,,,,
radiology_result_18,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_18] = 1",y,,,,,
radiology_other_result_18,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_18(6)] = '1'",y,,,,,
radio_exam_19,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_18]='1',y,RH,,,,
radiodays_19,radiology_results,,text,"Radiology Test from Admission Days 19",,,,,,,"[radio_exam_19] = '1'",,,,,,
radio_test_19,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_19] = 1",y,,,,,
radiology_othertest_19,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_19] = '5'",y,,,,,
radiology_result_19,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_19] = 1",y,,,,,
radiology_other_result_19,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_19(6)] = '1'",y,,,,,
radio_exam_20,radiology_results,,yesno,"Add another instance?",,,,,,,[radio_exam_19]='1',y,RH,,,,
radiodays_20,radiology_results,,text,"Radiology Test from Admission Days 20",,,,,,,"[radio_exam_20] = '1'",,,,,,
radio_test_20,radiology_results,,radio,"Type of Radiological Test","1, CXR|2, CT scan (CT thorax, CTPA, HRCT)|3, US thorax|4, MRI|5, Other",,,,,,"[radio_exam_20] = 1",y,,,,,
radiology_othertest_20,radiology_results,,text,"If other, please specify",,,alpha_only,,,,"[radio_test_20] = '5'",y,,,,,
radiology_result_20,radiology_results,,checkbox,"Radiology Result","1, Normal|2, Consistent with pneumonia|3, Consistent with heart failure|4, Consistent with pleural effusion|5, Consistent with COVID-19|6, Other abnormal finding",,,,,,"[radio_exam_20] = 1",y,,,,,
radiology_other_result_20,radiology_results,,checkbox,"If other, please specify","1, Pulmonary embolus|2, Pneumothorax and/or pneumomediastinum|3, Cavity including abscesses|4, Aspergillioma|5, Lung malignancy|6, Lung nodules|7, Tuberculosis (old or new)|8, Empyema",,,,,,"[radiology_result_20(6)] = '1'",y,,,,,
warning_declined13,readmission,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
warning_withdrawal9,readmission,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] ='1' OR [withdrawal_aspect]='2'",,,,,,
warning_no_further_data5,readmission,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want any further data to be collected.</span></div>",,,,,,,[withdrawal_aspect]='3',,,,,,
readmissiondetails,readmission,"Recording Re-Admissions (within 7 days of previous admission)",descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Admission date: [admission_date], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">NHS number: [nhs_number], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Patient Name: [name]</span></div>",,,,,,,,,,,,,
readmission,readmission,,yesno,"Was this patient re-admitted within 7 days of the first qualifying admission?",,,,,,,,,,,,,
readm_reason,readmission,,radio,"Reason for re-admission","1, Disease progression or worsening of symptoms|2, Clinical condition not improving (failure to resolve)|3, Secondary complication (e.g. AKI)|4, Possibly related (e.g. fall that may have been caused by pneumonia)|5, Unrelated (e.g. fall not related to current pneumonia)",,,,,,"[readmission] = '1'",,,,,,
readm_2,readmission,,yesno,"Did this patient have a second re-admission?",,,,,,,"[readmission] = '1'",y,,,,,
readm_reason_2,readmission,,radio,"Reason for re-admission","1, Disease progression or worsening of symptoms|2, Clinical condition not improving (failure to resolve)|3, Secondary complication (e.g. AKI)|4, Possibly related (e.g. fall that may have been caused by pneumonia)|5, Unrelated (e.g. fall not related to current pneumonia)",,,,,,"[readm_2] = '1'",,,,,,
readm_3,readmission,,yesno,"Did this patient have a third re-admission?",,,,,,,"[readm_2] = '1'",y,,,,,
readm_reason_3,readmission,,radio,"Reason for re-admission","1, Disease progression or worsening of symptoms|2, Clinical condition not improving (failure to resolve)|3, Secondary complication (e.g. AKI)|4, Possibly related (e.g. fall that may have been caused by pneumonia)|5, Unrelated (e.g. fall not related to current pneumonia)",,,,,,"[readm_3] = '1'",,,,,,
readm_4,readmission,,yesno,"Did this patient have a fourth re-admission?",,,,,,,"[readm_3] = '1'",y,,,,,
readm_reason_4,readmission,,radio,"Reason for re-admission","1, Disease progression or worsening of symptoms|2, Clinical condition not improving (failure to resolve)|3, Secondary complication (e.g. AKI)|4, Possibly related (e.g. fall that may have been caused by pneumonia)|5, Unrelated (e.g. fall not related to current pneumonia)",,,,,,"[readm_4] = '1'",,,,,,
adm1_length,readmission,,text,"Length of first admission (days)",,,,,,,"[readmission] = '1'",,,,,,
home_d_1,readmission,,text,"Days until 1st re-admission",,,,,,,"[readmission] = '1'",,,,,,
readm_length,readmission,,text,"Length of Re-Admission",,,,,,,"[readmission] = '1'",,,,,,
home_d_2,readmission,,text,"Days until 2nd re-admission",,,,,,,"[readm_2] = '1'",,,,,,
readm2_length,readmission,,text,"Length of 2nd Re-Admission",,,,,,,"[readm_2] = '1'",,,,,,
home_d_3,readmission,,text,"Days until 3rd re-admission",,,,,,,"[readm_3] = '1'",,,,,,
adm3_length,readmission,,text,"Length of 3rd re-admission",,,,,,,"[readm_3] = '1'",,,,,,
home_d_4,readmission,,text,"Days until 4th re-admission",,,,,,,"[readm_4] = '1'",,,,,,
adm4_length,readmission,,text,"Length of 4th re-admission",,,,,,,"[readm_4] = '1'",,,,,,
warning_declined14,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
warning_withdrawal10,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] ='1' OR [withdrawal_aspect]='2'",,,,,,
warning_no_further_data6,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want any further data to be collected.</span></div>",,,,,,,[withdrawal_aspect]='3',,,,,,
remind_adm_date,outcome_data,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <h2>Patient Outcome - Day 30</h2> </div></div>",descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Admission date: [admission_date] and time: [admission_time], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">NHS number: [nhs_number], </span><span style=""font-weight: normal; font-color: blue; font-size: 140%;"">Patient Name: [name]</span></div>",,,,,,,,,,,,,
hospital_length_of_stay,outcome_data,,text,"Hospital Length of Stay",,,,,,,,y,,,,,
descriptive_text,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Patient has not had a COVID test </span></div>",,,,,,,[viral_testing_performed_1]=0,,,,,,
decriptive_covid,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">COVID-19 has not been detected (negative test)</span></div>",,,,,,,"([viral_testing_performed_1]=1 AND [virus_pathogen_1(11)] <>""1"" )
OR
([viral_testing_performed_2]=1 AND [virus_pathogen_2(11)] <>""1"" )
OR
([viral_testing_performed_3]=1 AND [virus_pathogen_3(11)] <>""1"" )
OR
([viral_testing_performed_4]=1 AND [virus_pathogen_4(11)] <>""1"" )
OR
([viral_testing_performed_5]=1 AND [virus_pathogen_5(11)] <>""1"" )
OR
([viral_testing_performed_6]=1 AND [virus_pathogen_6(11)] <>""1"" )
OR
([viral_testing_performed_7]=1 AND [virus_pathogen_7(11)] <>""1"" )
OR
([viral_testing_performed_8]=1 AND [virus_pathogen_8(11)] <>""1"" )
OR
([viral_testing_performed_9]=1 AND [virus_pathogen_9(11)] <>""1"" )
OR 
([viral_testing_performed_10]=1 AND [virus_pathogen_10(11)] <>""1"" )
OR
([viral_testing_performed_11]=1 AND [virus_pathogen_11(11)] <>""1"" )
OR
([viral_testing_performed_12]=1 AND [virus_pathogen_12(11)] <>""1"" )",,,,,,
decriptive_lab,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">COVID-19 disease has been laboratory confirmed</span></div>",,,,,,,"[virol_patient_lab_1] = ""1"" OR  [virol_patient_lab_2] = ""1"" OR [virol_patient_lab_3] = ""1""  OR [virol_patient_lab_4] = ""1"" OR [virol_patient_lab_5] = ""1""  OR [virol_patient_lab_6] = ""1"" OR [virol_patient_lab_7] = ""1""  OR [virol_patient_lab_8] = ""1"" OR [virol_patient_lab_9] = ""1""  OR [virol_patient_lab_10] = ""1"" OR [virol_patient_lab_11] = ""1"" OR [virol_patient_lab_12] = ""1""",,,,,,
descriptive_self,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">COVID-19 test has been self-reported by patient as positive</span></div>",,,,,,,"[virol_patient_lab_1] = ""2"" AND  [virol_patient_lab_2] <> ""1"" AND [virol_patient_lab_3] <> ""1""  AND [virol_patient_lab_4] <> ""1"" AND [virol_patient_lab_5] <> ""1""  AND [virol_patient_lab_6] <> ""1"" AND [virol_patient_lab_7] <> ""1""  AND [virol_patient_lab_8] <> ""1"" AND [virol_patient_lab_9] <> ""1""  AND [virol_patient_lab_10] <> ""1"" AND [virol_patient_lab_11] <> ""1"" AND [virol_patient_lab_12] <> ""1""",,,,,,
covid_19_diagnosis,outcome_data,,radio,"COVID-19 diagnosis","1, COVID-19 - laboratory confirmed|2, COVID-19 - patient reported test|3, COVID-19 - clinical diagnosis (but negative test)|4, COVID-19 - negative test, unlikely COVID-19 disease|5, No test performed",,,,,,,y,,,,,
descriptive_radio_0,outcome_data,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">No radiology has been performed</span></div>",,,,,,,[radio_exam_1]=0,,,,,,
descriptive_radio_1,outcome_data,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">First radiology result: [radiology_result_1] ([radiology_date_1]) </span></div>",,,,,,,"[radio_exam_1]= ""1""",,,,,,
descriptive_radio_2,outcome_data,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Second radiology result: [radiology_result_2] ([radiology_date_2] )</span></div>",,,,,,,"[radio_exam_2]= ""1""",,,,,,
descriptive_radio_3,outcome_data,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Third radiology result: [radiology_result_3] ([radiology_date_3])</span></div>",,,,,,,"[radio_exam_3]= ""1""",,,,,,
descriptive_radio_4,outcome_data,,descriptive,"<div class=""blue"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Fourth radiology result:[radiology_result_4] ([radiology_date_4] )</span></div>",,,,,,,"[radio_exam_4]= ""1""",,,,,,
descriptive_test_lrti,outcome_data,,descriptive,"<div class=""green"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Positive laboratory test for infectious respiratory pathogen (including COVID-19, RSV, pneumococcus, etc.)</span></div>",,,,,,,"([viral_testing_performed_1]=1 AND [virus_isolated_1]=""1"" )
OR
([viral_testing_performed_2]=1 AND [virus_isolated_2] =""1"" )
OR
([viral_testing_performed_3]=1 AND [virus_isolated_3] =""1"" )
OR
([viral_testing_performed_4]=1 AND [virus_isolated_4] =""1"" )
OR
([viral_testing_performed_5]=1 AND [virus_isolated_5] =""1"" )
OR
([viral_testing_performed_6]=1 AND [virus_isolated_6] =""1"" )
OR
([viral_testing_performed_7]=1 AND [virus_isolated_7] =""1"" )
OR
([viral_testing_performed_8]=1 AND [virus_isolated_8] =""1"" )
OR
([viral_testing_performed_9]=1 AND [virus_isolated_9] =""1"" )
OR 
([viral_testing_performed_10]=1 AND [virus_isolated_10] =""1"" )
OR
([viral_testing_performed_11]=1 AND [virus_isolated_11] =""1"" )
OR
([viral_testing_performed_12]=1 AND [virus_isolated_12] =""1"" )",,,,,,
descriptive_symptoms_cap,outcome_data,,descriptive,"<div class=""orange"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Patient has 2 or more symptoms of Pneumonia</span></div>",,,,,,,"[qualifying_cap] >=2",,,,,,
descriptive_evidence_lrti,outcome_data,,descriptive,"<div class=""orange"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Patient has evidence of acute respiratory disease (?LRTI, CAP or HF) </span></div>",,,,,,,"[qualifying_lrti_symptoms]>=1 AND [qualifying_lrti_lrtd]>=1",,,,,,
descriptive_hf,outcome_data,,descriptive,"<div class=""orange"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Patient has evidence of Heart Failure </span></div>",,,,,,,"[nt_probnp] > 350 AND [nt_probnp]<>9999",,,,,,
descriptive_resp_condition,outcome_data,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Patient has an underlying respiratory condition: [resp_disease] (i.e. [other_respiratory_disease])</span></div>",,,,,,,"[resp_disease(2)] = '1' or [resp_disease(3)] = '1' or [resp_disease(4)] = '1'",,,,,,
final_inflam,outcome_data,,descriptive,"<div class=""yellow""><span style=""font-weight: normal; font-color: orange; font-size: 140%;"">Patient's infection markers: CRP [crp], WCC [wcc] and Neutrophils [pmn]</span></div>",,,,,,,,,,,,,
final_soc_lrtd_diagnosis,outcome_data,,checkbox,"Final Standard-of-Care LRTD-related diagnosis","1, CAP - radiologically confirmed|2, CAP - clinically confirmed (but not on radiology)|3, CAP - no radiology performed|4, LRTI|5, Empyema/lung abscess|6, Exacerbation of COPD|7, Exacerbation of other resp disease|8, Congestive heart failure|9, Non-infectious process|10, Non-LRTD infection-related diagnosis",,,,,,,y,,,,,
non_infect_process_spec,outcome_data,,text,"Please specify: Non Infectious Process",,,,,,,"[final_soc_lrtd_diagnosis(9)] = 1",y,,,,,
non_lrtd_spec,outcome_data,,text,"Please specify: Non LRTD infection-related process",,,,,,,"[final_soc_lrtd_diagnosis(10)] = 1",y,,,,,
lrti_other_specified,outcome_data,,text,"Please specify other resp disease",,,,,,,"[final_soc_lrtd_diagnosis(7)] = 1",y,,,,,
lrtd_30d_outcome,outcome_data,,radio,"LRTD Outcome (at 30 days, post enrollment)","1, Deceased | 2, Recovered | 3, Recovered, but long term sequelae | 4, Ongoing recovery (i.e. continuing to improve) | 5, Not recovered  (i.e. not yet improved or still hospitalised) | 6, Unknown",,,,,,,y,,,,,
survival_days,outcome_data,,text,"Days from admission to death",,,,,,,"[lrtd_30d_outcome] = '1'",y,,,,,
ip_death,outcome_data,,yesno,"Did patient die in hospital?",,,,,,,"[lrtd_30d_outcome] = '1'",y,,,,,
highest_level_care_require,outcome_data,,radio,"Highest Level Care Required","1, General Medical Ward|2, Intensive Care/HDU|3, CCU or high-care area",,,,,,,y,,,,,
days_in_icu,outcome_data,,text,"Days in ICU",,,number,,,,"[highest_level_care_require] = 2",y,,,,,
did_the_patient_receive_ec,outcome_data,,yesno,"Did the patient receive ECMO?",,,,,,,"[highest_level_care_require] = 2",y,,,,,
inotropic_support_required,outcome_data,,radio,"Inotropic Support required","1, Yes|2, No|3, Unknown",,,,,,"[highest_level_care_require] = 2",y,,,,,
did_the_patient_have_respi,outcome_data,,yesno,"<div class=""rich-text-field-label""><p>Did the patient have Respiratory Failure during admission?</p> <p><span style=""font-weight: normal;"">Sats < 90% with </span><span style=""color: #3c4043; font-family: arial, sans-serif; font-weight: 400;"">≥6L/min Oxygen <span style=""text-decoration: underline;"">OR</span> Resp rate > 30/min</span></p></div>",,,,,,,,,,,,,
ventilatory_support,outcome_data,,radio,"Ventilatory Support
(highest level required)","1, Intubation|2, BiPAP|3, CPAP|4, High-Flow Nasal Cannulae|5, None",,,,,,,y,,,,,
number_of_days_of_ventilat,outcome_data,,text,"Total Number of Days of Ventilatory Support",,,number,,,,"[ventilatory_support] = 1 or [ventilatory_support] =  2 or [ventilatory_support] =  3 or [ventilatory_support] =  4",y,,,,,
ett_days,outcome_data,,text,"Days of ETT ventilation",,,number,,,,"[ventilatory_support] = '1'",y,,,,,
renal_replacement_therapy,outcome_data,,yesno,"<div class=""rich-text-field-label""><p>Renal replacement therapy required</p> <p><span style=""font-weight: normal;"">(haemofiltration and/or new dialysis)</span></p></div>",,,,,,,,y,,,,,
complications,outcome_data,,checkbox,"<div class=""rich-text-field-label""><p>Complications</p> <p> </p></div>","1, Acute renal failure (Acute Kidney Injury) | 2, Liver dysfunction | 3, Hospital acquired infection | 4, ARDS (acute respiratory distress syndrome) | 5, NSTEMI (non-ST elevation MI) | 6, STEMI (ST elevation MI) | 7, New episode of atrial fibrillation | 8, New episode of other arrhythmia | 9, Stroke or brain haemorrhage | 10, DVT (deep vein thrombus) | 11, PE (pulmonary embolus) | 12, New or worsening congestive heart failure | 13, Fall in hospital | 14, Reduced mobility | 15, Increasing care requirement on discharge | 16, None",,,,,,,y,,,,," @NONEOFTHEABOVE=16"
weight,outcome_data,,text,"Patient weight (kg)",,,,,,,,,,,,,
height,outcome_data,,text,"Patient Height (cm)",,,,,,,,,,,,,
bmi,outcome_data,,text,BMI,,,,,,,,,,,,,
warning_declined15,pneumonia_severity_index,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has declined consent to the study. Do not collect any further data.</span></div>",,,,,,,"[consented]= '2' OR [ppc]= '2'",,,,,,
warning_withdrawal11,pneumonia_severity_index,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant has withdrawn from the study. Do not collect any further data.</span></div>",,,,,,,"[withdrawal_aspect] = '1' OR [withdrawal_aspect] ='2'",,,,,,
warning_no_further_data9,pneumonia_severity_index,,descriptive,"<div class=""yellow"";><span style=""font-weight:normal;font-color:blue;font-size:140%"">Participant does not want any further data to be collected.</span></div>",,,,,,,[withdrawal_aspect]='3',,,,,,
psi_s1_lbl,pneumonia_severity_index,"<h5><b>Step 1: Stratify to Risk Class I vs. Risk Classes II-V</b></h5>",descriptive,"<h5>Presence of:</h5>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_1,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Age at admission: [age_at_admission]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_1_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Over 50 years of age: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_1]='1',,,,,," @HIDDEN-FORM"
psi_st1_1_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Over 50 years of age: No</p></div>",,,,,,,[psi_st1_1]='0',,,,,," @HIDDEN-FORM"
psi_st1_2,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Was the patient clinically confused? (AMTS< 9 or 4AT< 4): [confusion]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_2_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Altered mental status: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_2]='1',,,,,," @HIDDEN-FORM"
psi_st1_2_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Altered mental status: No</p></div>",,,,,,,[psi_st1_2]='0',,,,,," @HIDDEN-FORM"
psi_st1_3,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Heart Rate (bpm): [hr]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_3_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Pulse ≥125/minute: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_3]='1',,,,,," @HIDDEN-FORM"
psi_st1_3_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Pulse ≥125/minute: No</p></div>",,,,,,,[psi_st1_3]='0',,,,,," @HIDDEN-FORM"
psi_st1_4,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Respiratory Rate (bpm): [rr]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_4_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Respiratory rate >30/minute: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_4]='1',,,,,," @HIDDEN-FORM"
psi_st1_4_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Respiratory rate >30/minute: No </p></div>",,,,,,,[psi_st1_4]='0',,,,,," @HIDDEN-FORM"
psi_st1_5,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Systolic BP (mmHg): [systolic_bp]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_5_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Systolic blood pressure < 90 mm Hg: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_5]='1',,,,,," @HIDDEN-FORM"
psi_st1_5_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Systolic blood pressure < 90 mm Hg: No </p></div>",,,,,,,[psi_st1_5]='0',,,,,," @HIDDEN-FORM"
psi_st1_6,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Temperature: [temperature]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_6_y,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Temperature < 35 °C or ≥40 °C: <span style=""background-color: #ff0000; color: #ffffff;""> YES </span></p></div>",,,,,,,[psi_st1_6]='1',,,,,," @HIDDEN-FORM"
psi_st1_6_n,pneumonia_severity_index,,descriptive,"<div class=""rich-text-field-label""><p>Temperature < 35 °C or ≥40 °C: No</p></div>",,,,,,,[psi_st1_6]='0',,,,,," @HIDDEN-FORM"
psi_s1_lbl_2,pneumonia_severity_index,,descriptive,"<h5>History of:</h5>",,,,,,,,,,,,," @HIDDEN-FORM"
psi_st1_7,pneumonia_severity_index,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Solid Organ Cancer/Malignancy: [cancer]</span><br /><span style=""font-weight: normal;"">Haematological Malignancy Leukaemia: [haem_malig]</span></p></div>",,,,,,,,,,,,," @HIDDEN-FORM"
